Issue Type,Issue key,Issue id,Summary,Status,Created,Updated,Custom field (Severity),Project key,Project name,Project type,Project lead,Project description,Project url,Component/s,Component/s,Priority,Resolved,Custom field (When Detected),Custom field (Defect Type (TES))
Defect,SE-1643,294887,BSL API - RAN/RefundId enumeration ,New,30/Mar/17 3:48 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Service Layer (BSL),,Normal,,Integration,Security
Defect,SE-1642,294885,BSL API - RAN/ReversalID Enumeration,New,30/Mar/17 3:47 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Service Layer (BSL),,Normal,,Integration,Security
Defect,SE-1641,294874,BSL API - Invalid invoiceID returns 200,Closed,30/Mar/17 3:36 PM,20/Apr/17 1:55 PM,S1,SE,Security Engineering,software,josh8058,,,Billing Service Layer (BSL),,Normal,20/Apr/17 1:55 PM,Integration,Security
Defect,SE-1640,294868,BSL Infra - TLSV1.0 Protocol ,New,30/Mar/17 3:35 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Service Layer (BSL),,Normal,,Integration,Security
Defect,SE-1639,294863,BSL Infra - SSL 64-bit Block Size Cipher Suites,New,30/Mar/17 3:34 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Service Layer (BSL),,Normal,,Integration,Security
Defect,SE-1636,293988,Outdated AngularJS,New,28/Mar/17 2:20 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Encore UI,,Normal,,Integration,Security
Defect,SE-1606,291145,RPC Newton 14.0.0 Use of Unsafe yaml.load(),In Test,22/Mar/17 10:00 PM,18/Apr/17 6:17 PM,S2,SE,Security Engineering,software,josh8058,,,Rackspace Private Cloud (RPC),,Normal,,Integration,Security
Defect,SE-1605,291137,RPC Newton 14.0.0 Subprocess Call with Shell=True,Closed,22/Mar/17 9:50 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Rackspace Private Cloud (RPC),,Normal,23/Mar/17 5:09 PM,Integration,Security
Defect,SE-1588,289566,"Identity production returns 504 when supplying a ""XML bomb"" payload",Closed,20/Mar/17 6:43 PM,18/Apr/17 6:13 PM,S0,SE,Security Engineering,software,josh8058,,,Cloud Identity,,Normal,30/Mar/17 4:09 PM,Integration,Security
Defect,SE-1576,284897,Responsible Disclosure - ClickJacking Vulnerability found in your Domai,Closed,08/Mar/17 4:40 PM,18/Apr/17 6:13 PM,S3,SE,Security Engineering,software,josh8058,,,rackspace.com,,Normal,14/Mar/17 3:34 PM,Integration,Security
Defect,SE-1564,280826,Responsible Disclosure - Stack Trace,Closed,24/Feb/17 4:20 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,rackspace.com,,Normal,30/Mar/17 4:17 PM,Integration,Security
Defect,SE-1558,277370,BCUI UI - Password Submitted using GET Method,New,17/Feb/17 4:01 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1557,277368,BCUI UI - Session Token in URL,New,17/Feb/17 4:00 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1556,277367,BCUI UI - Cleartext submission of password,New,17/Feb/17 3:59 PM,18/Apr/17 6:19 PM,S1,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1555,277355,BCUI Infra - TLS1.0 Protocol Detected ,New,17/Feb/17 3:11 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1554,277353,BCUI Infra - SSLv2 and SSLv3 Protocol ,New,17/Feb/17 3:09 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1553,277351,BCUI Infra - SSL DROWN Attack Vulnerability,New,17/Feb/17 3:04 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1552,277350,BCUI Infra - SSL Certificate Signed using Weak Hashing Algorithm,New,17/Feb/17 3:04 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1551,277349,BCUI Infra - SSL Certificate Chain contains RSA Key Less than 2048 bits,New,17/Feb/17 3:03 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1550,277348,BCUI Infra - SSH Weak Algorithms Supported ,New,17/Feb/17 3:02 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1549,277345,BCUI Infra - SSL Weak Cipher Suites Supported ,New,17/Feb/17 3:00 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
